name,lng,lat
Allen College,-92.338018,42.531427
Briar Cliff University,-96.42696,42.526919
Buena Vista University,-95.208529,42.642255
Central College,-92.922199,41.401539
Clarke University,-90.691512,42.508619
Coe College,-91.657535,41.986383
Cornell College,-91.425435,41.925982
Divine Word College,-90.934917,42.441572
Dordt College,-96.166562,43.082527
Drake University,-93.652163,41.60129
University of Dubuque,-90.693428,42.49726
Emmaus Bible College,-90.705921,42.509041
Faith Baptist Bible College and Theological Seminary,-93.624208,41.736338
Graceland University-Lamoni,-93.924893,40.615966
Grand View University,-93.604352,41.620813
Grinnell College,-92.721246,41.747048
Kaplan University-Mason City Campus,-93.238946,43.149615
Kaplan University-Cedar Rapids Campus,-91.713507,41.949597
Hamilton Technical College,-90.560088,41.573888
Iowa State University,-93.648504,42.026212
Iowa Wesleyan University,-91.552588,40.973689
University of Iowa,-91.536425,41.661935
Loras College,-90.679023,42.503908
Luther College,-91.803971,43.313584
Maharishi University of Management,-91.967306,41.017781
Mercy College of Health Sciences,-93.626251,41.59432
Morningside College,-96.360738,42.47324
Mount Mercy University,-91.650991,42.001931
Ashford University,-117.141961,32.8273
University of Northern Iowa,-92.459703,42.514923
Northwestern College,-96.058382,42.998955
Des Moines University-Osteopathic Medical Center,-93.661686,41.583325
Palmer College of Chiropractic,-90.574607,41.529021
Saint Ambrose University,-90.58098,41.540081
St Luke's College,-96.404922,42.517806
Simpson College,-93.563471,41.365503
Upper Iowa University,-91.799663,42.840293
Waldorf University,-93.640034,43.262203
Wartburg College,-92.480933,42.727629
Wartburg Theological Seminary,-90.691098,42.485197
William Penn University,-92.648348,41.308868
